candidate_id,episode_id,silver_label,first_death,first_death_reason,survived_to_scoring,final_accepted,final_score,original_rejection_stage
c=6b38799aa57a,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=af040325416f,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=d221a831ff98,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=f9a010a766c0,I6wCuvvaRPI,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,FINALIZE_START_GATE
c=1b9ff32f697c,I6wCuvvaRPI,FAIL,07_DURATION_GATE,too short (3.7s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=61af689ce18e,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=604b0e1e55b3,I6wCuvvaRPI,PASS,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=bfd6914a0bba,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,ENDING_CONFIDENCE
c=e293b5a7b8de,I6wCuvvaRPI,FAIL,07_DURATION_GATE,too short (1.7s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=0159d2fa546a,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=74d78c93d5fa,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=85137df55867,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=b558e0c55c77,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=bf2f10565902,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=2a736ae0a24d,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,MIN_DURATION
c=4ed36065fce2,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=142081bda5dd,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=55e0c0081114,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=c87b619e7633,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=aff04c395564,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.72 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=814fe10f8eec,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=6a8b73599c4a,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=c463cf20cb6f,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=863e40f6ff3c,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=89f5f2623db5,GOqEl4ADyVk,PASS,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=60ffcb2236cf,GOqEl4ADyVk,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,LATE_HOOK (no valid repair)",no,no,,FINALIZE_START_GATE
c=249972abe948,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=9ee1e4c7428c,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=9c6976be5cda,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=cf73aca0269d,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=25019c795a66,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=937ad36c16ad,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=c578805cc019,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.80 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=f036b224755b,GOqEl4ADyVk,REVIEW,07_DURATION_GATE,too short (10.5s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=858a8a6ecf9e,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=04cb286eea2a,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=accb7b3fcd00,GOqEl4ADyVk,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,LATE_HOOK (no valid repair)",no,no,,FINALIZE_START_GATE
c=cb7c24e086da,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=20397136965a,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=f4f0d296e652,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=3de6906bccbc,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=821d405b9509,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=485597b1210b,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=9d26b621a34f,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,ENDING_CONFIDENCE
c=538936b2e616,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=76610baaa229,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=3dc8dcadbf82,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=4581b681c518,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=48144e00ee76,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=fbd1bc763d4a,GOqEl4ADyVk,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=503330aaac70,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=e9d59309dde8,GOqEl4ADyVk,FAIL,07_DURATION_GATE,too short (12.8s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=9e2f4ad5335b,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=fb53d482602c,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=fc04f4dddf56,GOqEl4ADyVk,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=74f265367eae,2HLGcRpw1hc,FAIL,06_CONTAMINATION_GATE,next-topic contamination 0.27 > 0.18 (after repair attempt),no,no,,NEXT_TOPIC_CONTAMINATION
c=28f669e06042,2HLGcRpw1hc,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=307b36cbd455,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=9291e73da4b7,2HLGcRpw1hc,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=b15dabd9174b,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=444cbf2983a5,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=8fb87e3eee31,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=24d31329eab4,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=1ee78f21623a,2HLGcRpw1hc,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,MISSING_CONTEXT,UNRESOLVED_REFERENCE (no valid repair)",no,no,,FINALIZE_START_GATE
c=9b246945fe8a,2HLGcRpw1hc,FAIL,04_ENDING_COMPLETE,ending incomplete (QUESTION_START),no,no,,ENDING_COMPLETE
c=94c1d6f70ec3,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=a71f49296e03,2HLGcRpw1hc,FAIL,07_DURATION_GATE,too short (7.2s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=4ac046c40e8b,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=e7e3a7f65253,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=325250eefc6d,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=bb6c25c3cc97,2HLGcRpw1hc,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,LATE_HOOK (no valid repair)",no,no,,FINALIZE_START_GATE
c=714e622ee615,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=09f3d0ec2e77,2HLGcRpw1hc,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,FINALIZE_START_GATE
c=ff1425ba1aab,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,FINALIZE_START_GATE
c=7170e0ea5e66,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=7d4430531900,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=d5a8d94c2768,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=63588cb5a4d5,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=9a9beca1058c,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,ENDING_COMPLETE
c=691da259af02,2HLGcRpw1hc,FAIL,07_DURATION_GATE,too short (13.1s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=873094e659a8,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=ad82ae1cf740,2HLGcRpw1hc,FAIL,07_DURATION_GATE,too short (2.2s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=4e72a74a4aef,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=7f0b9ecd2722,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=4b4140b215e1,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=7fef935268ac,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=4802ebe604ca,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=6e2a670a1e2b,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=1d3f657a5854,2HLGcRpw1hc,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=602b1b06cc12,2HLGcRpw1hc,FAIL,07_DURATION_GATE,too short (1.8s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=0ddb01423bed,2HLGcRpw1hc,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=91a937486ae3,UZ1kCEGjYX0,FAIL,12_ACCEPTANCE_THRESHOLD,score 55 < 70,yes,no,55,FINALIZE_START_GATE
c=211771226651,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=407d4ce69d2c,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=6aa93bf835b8,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=e4ed462ee2d0,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=e9ca5e935dbc,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=b0a36c1aa6f7,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=62ab2e18cd84,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=686eb3873232,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=8c340cb61a7d,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=19e3a9aca16c,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=8583317c867a,UZ1kCEGjYX0,FAIL,07_DURATION_GATE,exceeds hard max (92.2s > 90s),no,no,,ENDING_COMPLETE
c=339c47686d73,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=0f341df5a7fd,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=1ffaaadc2d40,UZ1kCEGjYX0,FAIL,07_DURATION_GATE,too short (9.8s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=df3e918b0403,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=88767cded5c8,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=80e68aabcf35,UZ1kCEGjYX0,FAIL,07_DURATION_GATE,too short (5.3s < 14s) (after repair attempt),no,no,,FINALIZE_START_GATE
c=193cd026d77d,UZ1kCEGjYX0,FAIL,07_DURATION_GATE,too short (1.9s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=ee8850485cce,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=0cc4b9bf6295,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=f33c9ba2ceab,UZ1kCEGjYX0,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=6e2330173a98,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=b61f744789d9,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=e996af8e7116,UZ1kCEGjYX0,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=ef1b8926843f,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=2fae9d6556ea,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=17966edf9841,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,ENDING_CONFIDENCE
c=9a772ef2b3ca,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=97bb57f1134d,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=1d647afd843c,UZ1kCEGjYX0,FAIL,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=8293a0950af8,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=118e79831011,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=4298428c2062,UZ1kCEGjYX0,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,LATE_HOOK (no valid repair)",no,no,,FINALIZE_START_GATE
c=934df5c89124,UZ1kCEGjYX0,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=db867b4124ae,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=59d1a5729434,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=abf3ba28a4a0,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=d1aa8efdcce1,UZ1kCEGjYX0,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=420db388eb4b,Hb2rKGfIOrM,FAIL,12_ACCEPTANCE_THRESHOLD,score 66 < 70,yes,no,66,ENDING_COMPLETE
c=641d9229f4e8,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=a3109cc0afc5,Hb2rKGfIOrM,FAIL,07_DURATION_GATE,too short (5.8s < 14s) (after repair attempt),no,no,,FINALIZE_START_GATE
c=0331d2e45170,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,FINALIZE_START_GATE
c=d1eafe8fd471,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=7ab5199bccef,Hb2rKGfIOrM,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=96135d88b859,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,FINALIZE_START_GATE
c=661957b07cac,Hb2rKGfIOrM,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=4a5abdaf18ee,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=9844f4aaa141,Hb2rKGfIOrM,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=844e021c42a1,Hb2rKGfIOrM,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82,no,no,,FINALIZE_START_GATE
