candidate_id,episode_id,split,rough_start_sec,rough_end_sec,final_start_sec,final_end_sec,generator_version,transcript_hash
c=74d78c93d5fa,I6wCuvvaRPI,legacy,5495.76,5546.64,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=85137df55867,I6wCuvvaRPI,legacy,5794.32,5877.52,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=b558e0c55c77,I6wCuvvaRPI,legacy,5927.76,6011.6,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=bf2f10565902,I6wCuvvaRPI,legacy,6016.56,6062.24,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=2a736ae0a24d,I6wCuvvaRPI,legacy,6150.16,6191.4,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=4ed36065fce2,GOqEl4ADyVk,legacy,204.92,267.56,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=142081bda5dd,GOqEl4ADyVk,legacy,332.64,391.12,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=55e0c0081114,GOqEl4ADyVk,legacy,413.52,481.76,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=c87b619e7633,GOqEl4ADyVk,legacy,695,739.76,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=aff04c395564,GOqEl4ADyVk,legacy,753,806.68,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=814fe10f8eec,GOqEl4ADyVk,legacy,1068.28,1125.68,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=6a8b73599c4a,GOqEl4ADyVk,legacy,1160.32,1213.8,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=c463cf20cb6f,GOqEl4ADyVk,legacy,1212,1279.76,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=863e40f6ff3c,GOqEl4ADyVk,legacy,1297.36,1343.72,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=89f5f2623db5,GOqEl4ADyVk,legacy,1342.12,1389.48,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=60ffcb2236cf,GOqEl4ADyVk,legacy,1474.64,1525.56,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=249972abe948,GOqEl4ADyVk,legacy,1607.88,1674.44,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=9ee1e4c7428c,GOqEl4ADyVk,legacy,1700,1747.52,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=9c6976be5cda,GOqEl4ADyVk,legacy,1814.88,1861.72,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=cf73aca0269d,GOqEl4ADyVk,legacy,1913.2,1959.12,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=25019c795a66,GOqEl4ADyVk,legacy,2070.72,2115,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=937ad36c16ad,GOqEl4ADyVk,legacy,2145.64,2192.8,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=c578805cc019,GOqEl4ADyVk,legacy,2243.32,2314.12,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=f036b224755b,GOqEl4ADyVk,legacy,2448.4,2501.68,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=858a8a6ecf9e,GOqEl4ADyVk,legacy,2533.4,2580.8,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=04cb286eea2a,GOqEl4ADyVk,legacy,2587.72,2637.24,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=accb7b3fcd00,GOqEl4ADyVk,legacy,2914.64,2965.6,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=cb7c24e086da,GOqEl4ADyVk,legacy,2963.48,3042.16,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=20397136965a,GOqEl4ADyVk,legacy,3241.8,3302.92,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=f4f0d296e652,GOqEl4ADyVk,legacy,3829.24,3873.36,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=3de6906bccbc,GOqEl4ADyVk,legacy,3871.52,3953.12,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=821d405b9509,GOqEl4ADyVk,legacy,4027.8,4077.56,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=485597b1210b,GOqEl4ADyVk,legacy,4373.88,4422.6,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=9d26b621a34f,GOqEl4ADyVk,legacy,4420.2,4498.04,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=538936b2e616,GOqEl4ADyVk,legacy,4540.64,4604.64,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=76610baaa229,GOqEl4ADyVk,legacy,4804.4,4848.32,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=3dc8dcadbf82,GOqEl4ADyVk,legacy,4914.24,4968.08,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=4581b681c518,GOqEl4ADyVk,legacy,4979.48,5034.4,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=48144e00ee76,GOqEl4ADyVk,legacy,5215.12,5274.88,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=fbd1bc763d4a,GOqEl4ADyVk,legacy,5422.2,5471.4,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=503330aaac70,GOqEl4ADyVk,legacy,5730,5793.6,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=e9d59309dde8,GOqEl4ADyVk,legacy,5963.84,6024,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=9e2f4ad5335b,GOqEl4ADyVk,legacy,6171.48,6215.56,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=fb53d482602c,GOqEl4ADyVk,legacy,6220.2,6292.2,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=fc04f4dddf56,GOqEl4ADyVk,legacy,6308.92,6363.12,,,v12-lineage,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392
c=74f265367eae,2HLGcRpw1hc,legacy,11.44,72.08,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=28f669e06042,2HLGcRpw1hc,legacy,84.56,139.52,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=307b36cbd455,2HLGcRpw1hc,legacy,229.92,275.52,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=9291e73da4b7,2HLGcRpw1hc,legacy,288.24,308.32,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=b15dabd9174b,2HLGcRpw1hc,legacy,339.29,383.36,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=444cbf2983a5,2HLGcRpw1hc,legacy,394.24,451.68,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=8fb87e3eee31,2HLGcRpw1hc,legacy,512.16,561.12,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=24d31329eab4,2HLGcRpw1hc,legacy,594.64,612.56,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=1ee78f21623a,2HLGcRpw1hc,legacy,802.88,823.2,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=9b246945fe8a,2HLGcRpw1hc,legacy,980.72,1026.32,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=94c1d6f70ec3,2HLGcRpw1hc,legacy,1129.76,1173.36,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=a71f49296e03,2HLGcRpw1hc,legacy,1237.28,1268.64,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=4ac046c40e8b,2HLGcRpw1hc,legacy,1279.44,1320.32,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=e7e3a7f65253,2HLGcRpw1hc,legacy,1375.04,1426.64,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=325250eefc6d,2HLGcRpw1hc,legacy,1646.72,1734.96,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=bb6c25c3cc97,2HLGcRpw1hc,legacy,1734.48,1764.08,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=714e622ee615,2HLGcRpw1hc,legacy,1761.04,1827.52,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=09f3d0ec2e77,2HLGcRpw1hc,legacy,1850.8,1868.56,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=ff1425ba1aab,2HLGcRpw1hc,legacy,1947.12,1974.8,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=7170e0ea5e66,2HLGcRpw1hc,legacy,2013.76,2065.92,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=7d4430531900,2HLGcRpw1hc,legacy,2085.84,2116.4,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=d5a8d94c2768,2HLGcRpw1hc,legacy,2241.44,2286.4,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=63588cb5a4d5,2HLGcRpw1hc,legacy,2308.16,2365.12,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=9a9beca1058c,2HLGcRpw1hc,legacy,2442.56,2481.84,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=691da259af02,2HLGcRpw1hc,legacy,2593.68,2677.92,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=873094e659a8,2HLGcRpw1hc,legacy,2674.88,2721.04,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=ad82ae1cf740,2HLGcRpw1hc,legacy,2778.72,2833.36,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=4e72a74a4aef,2HLGcRpw1hc,legacy,2831.36,2880.96,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=7f0b9ecd2722,2HLGcRpw1hc,legacy,3028,3056.32,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=4b4140b215e1,2HLGcRpw1hc,legacy,3153.92,3208.48,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=7fef935268ac,2HLGcRpw1hc,legacy,3252.48,3287.92,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=4802ebe604ca,2HLGcRpw1hc,legacy,3492.48,3541.84,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=6e2a670a1e2b,2HLGcRpw1hc,legacy,3536.48,3578.64,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=1d3f657a5854,2HLGcRpw1hc,legacy,3580.64,3604.96,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=602b1b06cc12,2HLGcRpw1hc,legacy,3681.2,3719.36,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=0ddb01423bed,2HLGcRpw1hc,legacy,3858,3920.4,,,v12-lineage,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e
c=91a937486ae3,UZ1kCEGjYX0,legacy,30.72,50.64,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=211771226651,UZ1kCEGjYX0,legacy,75.12,143.44,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=407d4ce69d2c,UZ1kCEGjYX0,legacy,191.52,235.36,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=6aa93bf835b8,UZ1kCEGjYX0,legacy,233.68,276.8,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=e4ed462ee2d0,UZ1kCEGjYX0,legacy,292.72,334.56,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=e9ca5e935dbc,UZ1kCEGjYX0,legacy,332.32,358.48,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=b0a36c1aa6f7,UZ1kCEGjYX0,legacy,364.88,412.64,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=62ab2e18cd84,UZ1kCEGjYX0,legacy,481.28,529.76,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=686eb3873232,UZ1kCEGjYX0,legacy,553.36,593.4,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=8c340cb61a7d,UZ1kCEGjYX0,legacy,686.88,754.8,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=19e3a9aca16c,UZ1kCEGjYX0,legacy,882.32,941.84,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=8583317c867a,UZ1kCEGjYX0,legacy,945.04,1030.64,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=339c47686d73,UZ1kCEGjYX0,legacy,1044.48,1112.32,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=0f341df5a7fd,UZ1kCEGjYX0,legacy,1193.84,1245.2,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=1ffaaadc2d40,UZ1kCEGjYX0,legacy,1273.36,1294.56,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=df3e918b0403,UZ1kCEGjYX0,legacy,1424.64,1471.2,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=88767cded5c8,UZ1kCEGjYX0,legacy,1510.8,1570.32,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=80e68aabcf35,UZ1kCEGjYX0,legacy,1569.84,1594.64,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=193cd026d77d,UZ1kCEGjYX0,legacy,1692,1724.88,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=ee8850485cce,UZ1kCEGjYX0,legacy,1737.36,1752.8,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=0cc4b9bf6295,UZ1kCEGjYX0,legacy,1796.48,1841.28,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=f33c9ba2ceab,UZ1kCEGjYX0,legacy,1909.04,1937.12,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=6e2330173a98,UZ1kCEGjYX0,legacy,2018.32,2038.8,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=b61f744789d9,UZ1kCEGjYX0,legacy,2230.08,2271.28,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=e996af8e7116,UZ1kCEGjYX0,legacy,2298.72,2338.4,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=ef1b8926843f,UZ1kCEGjYX0,legacy,2334.56,2413.12,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=2fae9d6556ea,UZ1kCEGjYX0,legacy,2411.84,2465.76,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=17966edf9841,UZ1kCEGjYX0,legacy,2545.84,2594.08,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=9a772ef2b3ca,UZ1kCEGjYX0,legacy,2703.52,2739.76,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=97bb57f1134d,UZ1kCEGjYX0,legacy,2737.36,2781.92,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=1d647afd843c,UZ1kCEGjYX0,legacy,2871.92,2913.36,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=8293a0950af8,UZ1kCEGjYX0,legacy,2942.16,2960.4,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=118e79831011,UZ1kCEGjYX0,legacy,2977.52,3030.4,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=4298428c2062,UZ1kCEGjYX0,legacy,3204.88,3248.32,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=934df5c89124,UZ1kCEGjYX0,legacy,3266.64,3284.88,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
c=db867b4124ae,UZ1kCEGjYX0,legacy,3310.24,3362.88,,,v12-lineage,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388
